,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
553,672,underground,1,16,2,46
554,673,groundhog day,1,16,2,46
555,674,dom za vesanje,1,19,18,13
556,675,tonari no totoro,5,5,20,86
557,677,paper moon,1,19,18,13
558,678,the shop around the corner,1,16,3,7
559,679,the circus,1,18,3,117
560,680,la la land,1,16,11,15
561,681,soul,5,6,6,12
562,682,zootopia,5,6,6,12
563,685,coda,1,16,11,15
564,686,lage raho munna bhai,1,16,3,7
565,687,g.o.r.a.,4,5,0,40
566,688,yeopgijeogin geunyeo,1,16,3,7
567,689,"crna macka, beli macor",1,19,3,88
568,690,chung hing sam lam,1,19,18,13
569,692,aladdin,5,6,6,12
570,693,the graduate,1,16,3,7
571,694,stalag 17,1,16,9,36
572,695,knives out,1,19,18,13
573,697,padman,3,5,18,75
574,698,sing street,1,16,11,15
575,700,jojo rabbit,1,16,9,36
576,701,the artist,1,16,3,7
577,702,dev.d,1,16,3,7
578,703,jab we met,1,16,3,7
579,704,verdens verste menneske,1,16,3,7
580,705,in bruges,1,19,18,13
581,706,fantastic mr. fox,5,6,6,12
582,707,kal ho naa ho,1,16,13,72
583,708,no man's land,1,16,9,36
584,709,almost famous,4,5,18,19
585,710,shrek,5,6,6,12
